App Name,Developer,Genre,In-app Purchases,Interactive Elements,Last Update,Minimum Age,Number of Installations,Number of Reviews,Offered By,Rating,Required Android Version,Size,Version,Min Price,Max Price,Age,Month,Day,Year,Min Downloads,Minimum Android Version,Interactive Element Score
T world,"Visit website
seohyuk@sk.com
Privacy Policy
서울특별시 중구 을지로65(을지로2가) SK T-타워",Lifestyle,$0 - $0 per item,No Interactive Elements,"['May', '26', '', '2020']","Rated for 3+
Learn More","50,000,000+",62276,SKTelecom,4.0,4.4 and up,31.0,5.0,0.0,0.0,3,5,26,2020,50000000,4.4,0
IGNOU e-Content,"Visit website
ignouapp@ignou.ac.in
Privacy Policy
IGNOU Maidan Garhi New Delhi",Education,$0 - $0 per item,No Interactive Elements,"['June', '14', '', '2020']","Rated for 3+
Learn More","500,000+",3574,IGNOU,3.9,4.0 and up,6.4,8.0,0.0,0.0,3,6,14,2020,500000,4.0,0
B-Messenger Video Chat,"Visit website
info@b-messenger.com
Privacy Policy
Istasyon Yolu Sk. No:3/1 Altintepe, Maltepe, Istanbul, Turkey",Social,"₹599.99 - ₹1,350.00 per item",Users Interact,"['August', '19', '', '2017']","Rated for 18+
Learn More","1,000,000+",14853,Bilye Digital Entertainment,4.0,2.3 and up,19.0,7.0,599.99,1350.0,18,8,19,2017,1000000,2.3,1
Peppa Pig: Paintbox,"Visit website
support@peppapig.com
Privacy Policy
45 Warren Street London W1T 6AG",Education,$0 - $0 per item,No Interactive Elements,"['October', '3', '', '2016']","Rated for 3+
Learn More","50,000,000+",128463,Entertainment One,3.8,4.0 and up,36.0,1.0,0.0,0.0,3,10,3,2016,50000000,4.0,0
Daily K-Talk,"Visit website
tokoinfo@talkingkorea.com
Privacy Policy",Education,$0 - $0 per item,No Interactive Elements,"['February', '13', '', '2020']","Rated for 3+
Learn More","50,000+",418,Talking Korea,3.8,4.0 and up,-1.0,-1.0,0.0,0.0,3,2,13,2020,50000,4.0,0
V-CUBE Seminar Mobile,"Visit website
android-market@vcube.co.jp
Privacy Policy",Business,$0 - $0 per item,Users Interact,"['April', '17', '', '2018']","Rated for 3+
Learn More","100,000+",568,"V-cube, Inc.",4.4,4.0 and up,30.0,1.0,0.0,0.0,3,4,17,2018,100000,4.0,1
All downloader 2019,"Visit website
cameras.ideas@gmail.com
Privacy Policy
27 Maywood Road, Delmar, NY, United States of America",Video Players & Editors,"₹650.00 - ₹1,650.00 per item",No Interactive Elements,"['May', '25', '', '2020']","Rated for 3+
Learn More","100,000,000+",493812,InShot Inc.,4.3,5.1 and up,9.4,1.0,650.0,1650.0,3,5,25,2020,100000000,5.1,0
Theme for P Smart 2019,"Visit website
bestlaunchersapp@gmail.com
Privacy Policy",Personalization,$0 - $0 per item,No Interactive Elements,"['January', '30', '', '2020']","Rated for 3+
Learn More","5,000+",0,Best Launchers App,-1.0,4.0 and up,8.8,1.0,0.0,0.0,3,1,30,2020,5000,4.0,0
"Helo - Discover, Share & Communicate","Visit website
feedback@helo-app.com
Privacy Policy
Vistra Corporate Services Centre, Wickhams Cay II, Road Town, Tortola, VG1110, British Virgin Islands",Social,"₹79.00 - ₹7,900.00 per item",Users Interact,"['June', '24', '', '2020']","Rated for 12+
Parental Guidance Recommended
Learn More","100,000,000+",2327586,Helo Holdings Limited,4.0,4.1 and up,40.0,3.0,79.0,7900.0,12,6,24,2020,100000000,4.1,1
Helo Lite - Download Share WhatsApp Status Videos,"feedback@helo-app.com
Privacy Policy
Vistra Corporate Services Centre, Wickhams Cay II, Road Town, Tortola, VG1110, British Virgin Islands",Social,$0 - $0 per item,"Users Interact, Shares Location","['June', '24', '', '2020']","Rated for 12+
Parental Guidance Recommended
Learn More","10,000,000+",55979,Helo Holdings Limited,3.9,4.1 and up,11.0,1.0,0.0,0.0,12,6,24,2020,10000000,4.1,5
"Q UP - ""Painless OPD Experience""","Visit website
help@qupapp.com
Privacy Policy",Medical,$0 - $0 per item,No Interactive Elements,"['May', '20', '', '2020']","Rated for 3+
Learn More","100,000+",3012,3409 Tech Ventures Pvt. Ltd.,4.0,4.4 and up,49.0,5.0,0.0,0.0,3,5,20,2020,100000,4.4,0
