Genre,Number of Reviews,Size,Version,Min Price,Max Price,Age,Month,Day,Year,Min Downloads,Minimum Android Version,Interactive Element Score
21,62276,31.0,7,0.0,0.0,3,5,26,2020,50000000,14,0
14,3574,6.4,10,0.0,0.0,3,6,14,2020,500000,9,0
36,14853,19.0,9,599.99,1350.0,18,8,19,2017,1000000,5,1
14,128463,36.0,2,0.0,0.0,3,10,3,2016,50000000,9,0
14,418,-1.0,0,0.0,0.0,3,2,13,2020,50000,9,0
8,568,30.0,2,0.0,0.0,3,4,17,2018,100000,9,1
42,493812,9.4,2,650.0,1650.0,3,5,25,2020,100000000,17,0
36,2327586,40.0,5,79.0,7900.0,12,6,24,2020,100000000,11,1
36,55979,11.0,2,0.0,0.0,12,6,24,2020,10000000,11,5
23,3012,49.0,7,0.0,0.0,3,5,20,2020,100000,14,0
42,404906,49.0,2,85.0,4550.0,7,6,22,2020,10000000,14,3
8,35,4.8,2,0.0,0.0,3,3,12,2020,1000,11,0
15,84,3.3,2,0.0,0.0,18,8,27,2019,10000,3,1
21,6,5.2,2,0.0,0.0,3,9,10,2019,5000,10,0
21,156,45.0,7,0.0,0.0,3,6,9,2020,10000,11,0
3,994917,37.0,5,52.98,7100.0,12,9,24,2019,100000000,11,4
2,23582,48.0,4,80.0,7100.0,12,6,25,2020,5000000,11,3
3,928413,-1.0,6,57.31,7100.0,12,9,30,2019,100000000,11,3
25,6417,25.0,4,0.0,0.0,16,6,23,2020,500000,16,0
14,131,6.0,2,0.0,0.0,3,12,24,2019,1000,13,0
12,17,-1.0,7,0.0,0.0,3,12,19,2019,1000,11,5
3,13,32.0,2,0.0,0.0,3,3,18,2020,1000,11,0
11,908866,25.0,13,34.99,8300.0,3,6,25,2020,100000000,11,2
14,30165,-1.0,0,490.0,11700.0,3,3,27,2020,1000000,0,1
39,290,8.2,2,0.0,0.0,3,3,16,2019,10000,14,0
40,1284,15.0,5,0.0,0.0,3,5,20,2020,10000,14,2
39,711,16.0,2,75.0,1950.0,3,6,6,2020,100000,11,3
34,1763091,22.0,8,0.0,0.0,3,5,29,2020,100000000,14,0
15,80,2.5,4,0.0,0.0,3,5,13,2020,50000,11,0
30,2028336,-1.0,14,10.0,26000.0,3,6,24,2020,100000000,16,4
30,185417,65.0,14,29.99,6800.0,3,5,23,2020,50000000,16,0
39,2761277,-1.0,0,0.0,0.0,3,6,15,2020,100000000,0,0
14,522,30.0,2,0.0,0.0,3,6,25,2020,10000,12,1
14,665766,7.7,7,0.0,0.0,3,6,22,2020,10000000,16,1
14,516,30.0,2,0.0,0.0,3,5,28,2020,5000,12,1
14,23,29.0,2,0.0,0.0,3,6,25,2020,100,12,1
34,32,16.0,2,0.0,0.0,3,5,26,2020,10000,16,0
39,112926,3.9,5,160.0,160.0,3,12,5,2017,5000000,5,2
14,72,5.4,5,0.0,0.0,3,10,22,2018,10000,16,0
28,23,3.4,4,0.0,0.0,3,12,30,2019,5000,11,0
4,46,3.5,2,0.0,0.0,3,1,4,2020,10000,11,0
28,54,3.5,5,0.0,0.0,3,1,1,2020,10000,11,0
4,78,3.5,4,0.0,0.0,3,12,30,2019,10000,11,0
14,880730,-1.0,0,10.0,21600.0,3,6,26,2020,10000000,0,2
3,2030774,53.0,2,120.0,120.0,3,6,26,2020,100000000,11,0
3,9114,53.0,2,110.0,320.0,12,4,25,2020,1000000,14,3
3,2171,90.0,2,240.0,340.0,7,6,13,2020,100000,14,3
0,10,36.0,4,70.0,2150.0,7,12,22,2019,1000,16,0
14,773,20.0,5,0.0,0.0,3,6,17,2020,10000,18,0
31,25873,94.0,2,19.0,19999.0,3,4,3,2019,1000000,11,2
35,27477,40.0,2,0.0,0.0,3,8,4,2016,5000000,6,0
35,12283,80.0,4,0.0,0.0,3,11,16,2016,1000000,6,0
35,5206,89.0,2,75.0,6400.0,16,3,25,2020,1000000,11,4
35,33367,84.0,2,80.0,13100.0,3,4,8,2020,5000000,11,2
35,76300,37.0,2,0.0,0.0,3,7,12,2016,10000000,6,0
35,2512,87.0,2,70.0,7400.0,3,10,6,2017,500000,5,2
35,7787,59.0,2,65.0,11800.0,3,1,22,2020,1000000,11,2
35,7414,96.0,2,65.0,9800.0,3,7,14,2017,1000000,5,2
7,82,2.1,7,0.0,0.0,3,3,13,2018,5000,10,0
14,2587,54.0,2,150.0,150.0,3,6,12,2020,1000000,12,0
35,2797,54.0,2,0.0,0.0,3,12,17,2019,500000,11,0
25,1025896,-1.0,0,25.0,69.0,12,6,18,2020,10000000,0,4
11,144667,79.0,2,320.0,320.0,3,1,31,2020,10000000,16,3
21,81,3.6,2,0.0,0.0,3,10,28,2019,100000,11,1
42,14830,19.0,11,0.0,0.0,3,5,29,2020,1000000,9,0
4,10,8.0,2,0.0,0.0,3,6,22,2020,10000,16,0
12,21535519,-1.0,0,0.0,0.0,12,6,24,2020,500000000,9,5
15,492,4.5,9,0.0,0.0,3,6,20,2020,100000,12,0
8,225,74.0,2,0.0,0.0,3,6,10,2020,10000,14,0
29,678126,-1.0,7,170.0,4950.0,3,6,15,2020,100000000,16,3
30,3845199,218.0,21,119.59,6043.9,3,6,25,2020,500000000,16,2
15,357954,-1.0,0,0.0,0.0,3,3,16,2020,10000000,0,2
39,50084,-1.0,5,220.0,24900.0,12,6,23,2020,10000000,14,0
32,3033286,53.0,0,50.0,7500.0,3,6,8,2020,100000000,11,2
27,210413,6.1,9,0.0,0.0,3,6,26,2020,10000000,16,1
18,31,56.0,2,0.0,0.0,3,6,4,2020,1000,14,0
39,176445,117.0,4,70.0,2499.0,3,6,22,2020,10000000,16,5
12,12537,12.0,2,0.0,0.0,3,3,12,2020,1000000,16,5
15,180,40.0,7,0.0,0.0,12,6,26,2020,10000000,16,2
8,2772,25.0,4,0.0,0.0,3,4,12,2020,500000,19,0
15,1759857,-1.0,0,65.0,1000.0,12,6,26,2020,100000000,0,2
28,22936,44.0,6,0.0,0.0,3,6,10,2020,5000000,11,0
28,4373,44.0,6,0.0,0.0,16,5,13,2020,1000000,11,0
28,1026,43.0,6,0.0,0.0,16,6,8,2020,100000,11,0
8,22,20.0,4,0.0,0.0,3,2,9,2020,1000,14,0
12,21976282,-1.0,0,0.0,0.0,3,6,17,2020,5000000000,0,5
14,45,5.2,4,75.0,75.0,3,5,7,2020,5000,11,0
28,63453,2.3,2,0.0,0.0,12,9,21,2015,10000000,5,0
36,267,18.0,6,0.0,0.0,3,5,29,2020,10000,11,1
15,56,15.0,5,0.0,0.0,16,6,17,2020,5000,11,0
32,5716604,13.0,2,122.45,614.53,12,5,31,2020,100000000,11,3
32,630254,22.0,2,120.0,6700.0,12,5,28,2020,50000000,11,3
