Genre,Number of Reviews,Rating,Size,Version,Min Price,Max Price,Age,Month,Day,Year,Min Downloads,Minimum Android Version,Interactive Element Score
Lifestyle,62276,4.0,31.0,5.0,0.0,0.0,3,5,26,2020,50000000,4.4,0
Education,3574,3.9,6.4,8.0,0.0,0.0,3,6,14,2020,500000,4.0,0
Social,14853,4.0,19.0,7.0,599.99,1350.0,18,8,19,2017,1000000,2.3,1
Education,128463,3.8,36.0,1.0,0.0,0.0,3,10,3,2016,50000000,4.0,0
Education,418,3.8,-1.0,-1.0,0.0,0.0,3,2,13,2020,50000,4.0,0
Business,568,4.4,30.0,1.0,0.0,0.0,3,4,17,2018,100000,4.0,1
Video Players & Editors,493812,4.3,9.4,1.0,650.0,1650.0,3,5,25,2020,100000000,5.1,0
Social,2327586,4.0,40.0,3.0,79.0,7900.0,12,6,24,2020,100000000,4.1,1
Social,55979,3.9,11.0,1.0,0.0,0.0,12,6,24,2020,10000000,4.1,5
Medical,3012,4.0,49.0,5.0,0.0,0.0,3,5,20,2020,100000,4.4,0
Video Players & Editors,404906,4.2,49.0,1.0,85.0,4550.0,7,6,22,2020,10000000,4.4,3
Business,35,4.2,4.8,1.0,0.0,0.0,3,3,12,2020,1000,4.1,0
Entertainment,84,3.8,3.3,1.0,0.0,0.0,18,8,27,2019,10000,2.1,1
Lifestyle,6,4.3,5.2,1.0,0.0,0.0,3,9,10,2019,5000,4.0.3,0
Lifestyle,156,2.6,45.0,5.0,0.0,0.0,3,6,9,2020,10000,4.1,0
Arcade,994917,4.3,37.0,3.0,52.98,7100.0,12,9,24,2019,100000000,4.1,4
Adventure,23582,4.2,48.0,2.0,80.0,7100.0,12,6,25,2020,5000000,4.1,3
Arcade,928413,4.3,-1.0,4.0,57.31,7100.0,12,9,30,2019,100000000,4.1,3
Music & Audio,6417,4.7,25.0,2.0,0.0,0.0,16,6,23,2020,500000,5.0,0
Education,131,5.0,6.0,1.0,0.0,0.0,3,12,24,2019,1000,4.3,0
Communication,17,4.4,-1.0,5.0,0.0,0.0,3,12,19,2019,1000,4.1,5
Arcade,13,3.5,32.0,1.0,0.0,0.0,3,3,18,2020,1000,4.1,0
Casual,908866,4.1,25.0,11.0,34.99,8300.0,3,6,25,2020,100000000,4.1,2
Education,30165,4.5,-1.0,-1.0,490.0,11700.0,3,3,27,2020,1000000,-1,1
Tools,290,2.4,8.2,1.0,0.0,0.0,3,3,16,2019,10000,4.4,0
Travel & Local,1284,4.7,15.0,3.0,0.0,0.0,3,5,20,2020,10000,4.4,2
Tools,711,3.4,16.0,1.0,75.0,1950.0,3,6,6,2020,100000,4.1,3
Shopping,1763091,3.7,22.0,6.0,0.0,0.0,3,5,29,2020,100000000,4.4,0
Entertainment,80,4.3,2.5,2.0,0.0,0.0,3,5,13,2020,50000,4.1,0
Productivity,2028336,4.2,-1.0,12.0,10.0,26000.0,3,6,24,2020,100000000,5.0,4
Productivity,185417,4.2,65.0,12.0,29.99,6800.0,3,5,23,2020,50000000,5.0,0
Tools,2761277,4.0,-1.0,-1.0,0.0,0.0,3,6,15,2020,100000000,-1,0
Education,522,4.4,30.0,1.0,0.0,0.0,3,6,25,2020,10000,4.2,1
Education,665766,4.6,7.7,5.0,0.0,0.0,3,6,22,2020,10000000,5.0,1
Education,516,4.5,30.0,1.0,0.0,0.0,3,5,28,2020,5000,4.2,1
Education,23,4.8,29.0,1.0,0.0,0.0,3,6,25,2020,100,4.2,1
Shopping,32,3.9,16.0,1.0,0.0,0.0,3,5,26,2020,10000,5.0,0
Tools,112926,4.0,3.9,3.0,160.0,160.0,3,12,5,2017,5000000,2.3,2
Education,72,4.5,5.4,3.0,0.0,0.0,3,10,22,2018,10000,5.0,0
Personalization,23,4.4,3.4,2.0,0.0,0.0,3,12,30,2019,5000,4.1,0
Art & Design,46,3.8,3.5,1.0,0.0,0.0,3,1,4,2020,10000,4.1,0
Personalization,54,4.3,3.5,3.0,0.0,0.0,3,1,1,2020,10000,4.1,0
Art & Design,78,4.1,3.5,2.0,0.0,0.0,3,12,30,2019,10000,4.1,0
Education,880730,4.6,-1.0,-1.0,10.0,21600.0,3,6,26,2020,10000000,-1,2
Arcade,2030774,4.4,53.0,1.0,120.0,120.0,3,6,26,2020,100000000,4.1,0
Arcade,9114,4.0,53.0,1.0,110.0,320.0,12,4,25,2020,1000000,4.4,3
Arcade,2171,4.3,90.0,1.0,240.0,340.0,7,6,13,2020,100000,4.4,3
Action,10,2.1,36.0,2.0,70.0,2150.0,7,12,22,2019,1000,5.0,0
Education,773,2.5,20.0,3.0,0.0,0.0,3,6,17,2020,10000,6.0,0
Puzzle,25873,4.6,94.0,1.0,19.0,19999.0,3,4,3,2019,1000000,4.1,2
Simulation,27477,4.1,40.0,1.0,0.0,0.0,3,8,4,2016,5000000,2.3.3,0
Simulation,12283,4.0,80.0,2.0,0.0,0.0,3,11,16,2016,1000000,2.3.3,0
Simulation,5206,4.1,89.0,1.0,75.0,6400.0,16,3,25,2020,1000000,4.1,4
Simulation,33367,4.2,84.0,1.0,80.0,13100.0,3,4,8,2020,5000000,4.1,2
Simulation,76300,4.1,37.0,1.0,0.0,0.0,3,7,12,2016,10000000,2.3.3,0
Simulation,2512,3.7,87.0,1.0,70.0,7400.0,3,10,6,2017,500000,2.3,2
Simulation,7787,3.9,59.0,1.0,65.0,11800.0,3,1,22,2020,1000000,4.1,2
Simulation,7414,4.0,96.0,1.0,65.0,9800.0,3,7,14,2017,1000000,2.3,2
Books & Reference,82,4.6,2.1,5.0,0.0,0.0,3,3,13,2018,5000,4.0.3,0
Education,2587,4.4,54.0,1.0,150.0,150.0,3,6,12,2020,1000000,4.2,0
Simulation,2797,3.8,54.0,1.0,0.0,0.0,3,12,17,2019,500000,4.1,0
Music & Audio,1025896,4.8,-1.0,-1.0,25.0,69.0,12,6,18,2020,10000000,-1,4
Casual,144667,4.0,79.0,1.0,320.0,320.0,3,1,31,2020,10000000,5.0,3
Lifestyle,81,4.5,3.6,1.0,0.0,0.0,3,10,28,2019,100000,4.1,1
Video Players & Editors,14830,4.5,19.0,9.0,0.0,0.0,3,5,29,2020,1000000,4.0,0
Art & Design,10,3.9,8.0,1.0,0.0,0.0,3,6,22,2020,10000,5.0,0
Communication,21535519,3.9,-1.0,-1.0,0.0,0.0,12,6,24,2020,500000000,4.0,5
Entertainment,492,4.4,4.5,7.0,0.0,0.0,3,6,20,2020,100000,4.2,0
Business,225,3.6,74.0,1.0,0.0,0.0,3,6,10,2020,10000,4.4,0
Photography,678126,4.4,-1.0,5.0,170.0,4950.0,3,6,15,2020,100000000,5.0,3
Productivity,3845199,4.6,218.0,20.0,119.59,6043.9,3,6,25,2020,500000000,5.0,2
Entertainment,357954,4.2,-1.0,-1.0,0.0,0.0,3,3,16,2020,10000000,-1,2
Tools,50084,4.1,-1.0,3.0,220.0,24900.0,12,6,23,2020,10000000,4.4,0
Racing,3033286,4.2,53.0,-1.0,50.0,7500.0,3,6,8,2020,100000000,4.1,2
News & Magazines,210413,4.1,6.1,7.0,0.0,0.0,3,6,26,2020,10000000,5.0,1
Health & Fitness,31,2.9,56.0,1.0,0.0,0.0,3,6,4,2020,1000,4.4,0
Tools,176445,4.5,117.0,2.0,70.0,2499.0,3,6,22,2020,10000000,5.0,5
Communication,12537,4.2,12.0,1.0,0.0,0.0,3,3,12,2020,1000000,5.0,5
Entertainment,180,1.6,40.0,5.0,0.0,0.0,12,6,26,2020,10000000,5.0,2
Business,2772,4.0,25.0,2.0,0.0,0.0,3,4,12,2020,500000,7.0,0
Entertainment,1759857,4.3,-1.0,-1.0,65.0,1000.0,12,6,26,2020,100000000,-1,2
Personalization,22936,4.1,44.0,4.0,0.0,0.0,3,6,10,2020,5000000,4.1,0
Personalization,4373,4.1,44.0,4.0,0.0,0.0,16,5,13,2020,1000000,4.1,0
Personalization,1026,4.1,43.0,4.0,0.0,0.0,16,6,8,2020,100000,4.1,0
Business,22,4.6,20.0,2.0,0.0,0.0,3,2,9,2020,1000,4.4,0
Communication,21976282,4.3,-1.0,-1.0,0.0,0.0,3,6,17,2020,5000000000,-1,5
Education,45,4.6,5.2,2.0,75.0,75.0,3,5,7,2020,5000,4.1,0
Personalization,63453,4.2,2.3,1.0,0.0,0.0,12,9,21,2015,10000000,2.3,0
Social,267,4.9,18.0,4.0,0.0,0.0,3,5,29,2020,10000,4.1,1
Entertainment,56,4.8,15.0,3.0,0.0,0.0,16,6,17,2020,5000,4.1,0
Racing,5716604,4.2,13.0,1.0,122.45,614.53,12,5,31,2020,100000000,4.1,3
Racing,630254,4.2,22.0,1.0,120.0,6700.0,12,5,28,2020,50000000,4.1,3
Personalization,93091,4.1,25.0,1.0,249.0,249.0,3,8,13,2019,10000000,4.1,0
Business,5015,4.2,6.6,4.0,0.0,0.0,3,12,25,2019,500000,4.2,0
Education,137,4.3,5.4,1.0,0.0,0.0,3,6,30,2019,10000,4.4,0
Food & Drink,4316,3.6,8.4,1.0,0.0,0.0,3,6,27,2020,100000,4.4,0
News & Magazines,1102,3.9,14.0,2.0,0.0,0.0,3,3,5,2019,50000,4.0.3,1
Sports,93306,3.9,16.0,9.0,10.0,299.0,3,6,2,2020,10000000,4.0,2
Health & Fitness,26,2.0,14.0,1.0,0.0,0.0,3,10,30,2019,1000,4.4,0
Entertainment,23,4.0,18.0,2.0,0.0,0.0,3,6,21,2020,10000,4.3,0
Education,566,4.5,5.8,3.0,0.0,0.0,3,12,4,2018,100000,4.0.3,0
Tools,2232324,3.8,10.0,6.0,0.0,0.0,3,6,13,2020,100000000,4.0,0
Casual,563055,4.1,-1.0,-1.0,10.0,14000.0,3,6,26,2020,50000000,-1,0
Music & Audio,5,4.8,7.7,3.0,0.0,0.0,3,6,15,2020,1000,5.0,0
Books & Reference,164603,4.2,12.0,4.0,60.0,130.0,3,12,26,2017,10000000,2.3,3
Education,867,4.3,18.0,12.0,0.0,0.0,3,5,25,2020,10000,5.0,3
Social,565866,4.3,30.0,1.0,71.0,11600.0,18,6,16,2020,10000000,4.3,8
Photography,329105,4.5,6.7,2.0,60.0,650.0,3,6,25,2020,10000000,4.1,4
House & Home,5,4.2,3.9,2.0,0.0,0.0,3,7,16,2018,500,4.1,0
Communication,1506346,4.0,-1.0,-1.0,75.0,26000.0,18,6,24,2020,100000000,-1,8
Strategy,230955,4.3,-1.0,1.0,10.0,7900.0,7,2,26,2018,10000000,4.0.3,3
Entertainment,268825,3.0,-1.0,-1.0,10.0,850.0,12,4,20,2020,10000000,-1,3
Adventure,1254,4.4,-1.0,1.0,85.0,1250.0,12,4,4,2020,100000,4.1,0
Action,947045,4.6,-1.0,4.0,79.0,3999.0,12,6,22,2020,10000000,4.4,3
Finance,298678,4.3,31.0,2.0,0.0,0.0,3,5,15,2020,10000000,4.3,0
Finance,223,3.9,7.3,1.0,0.0,0.0,3,1,4,2020,100000,4.3,0
Personalization,10313,4.0,24.0,7.0,0.0,0.0,12,7,26,2019,1000000,4.0,0
News & Magazines,61,3.5,37.0,3.0,45.0,2750.0,16,4,22,2020,1000,5.0,0
Tools,44070,4.3,12.0,3.0,55.0,790.0,3,5,9,2019,1000000,4.1,0
Arcade,39,3.8,15.0,2.0,0.0,0.0,3,10,25,2018,10000,4.4,0
Music & Audio,1225,4.2,5.2,1.0,0.0,0.0,3,6,1,2015,100000,2.2,0
Music & Audio,3858,4.3,4.3,1.0,0.0,0.0,3,2,27,2017,500000,4.0,0
Personalization,196,4.9,9.5,1.0,0.0,0.0,3,4,24,2020,1000,4.2,0
Lifestyle,3248,4.4,23.0,1.0,0.0,0.0,3,6,7,2020,100000,4.4,0
