App Name,Developer,Genre,In-app Purchases,Interactive Elements,Last Update,Minimum Age,Number of Installations,Number of Reviews,Offered By,Rating,Required Android Version,Size,Version
T world,"Visit website
seohyuk@sk.com
Privacy Policy
서울특별시 중구 을지로65(을지로2가) SK T-타워",SKTelecomLifestyle,Completely free,No Interactive Elements,"May 26, 2020","Rated for 3+
Learn More","50,000,000+","62,276 total",SKTelecom,4.0,4.4 and up,31M,5.0.14
IGNOU e-Content,"Visit website
ignouapp@ignou.ac.in
Privacy Policy
IGNOU Maidan Garhi New Delhi",IGNOUEducation,Completely free,No Interactive Elements,"June 14, 2020","Rated for 3+
Learn More","500,000+","3,574 total",IGNOU,3.9,4.0 and up,6.4M,8.0.0
B-Messenger Video Chat,"Visit website
info@b-messenger.com
Privacy Policy
Istasyon Yolu Sk. No:3/1 Altintepe, Maltepe, Istanbul, Turkey",Bilye Digital EntertainmentSocial,"₹599.99 - ₹1,350.00 per item",Users Interact,"August 19, 2017","Rated for 18+
Learn More","1,000,000+","14,853 total",Bilye Digital Entertainment,4.0,2.3 and up,19M,7.1.1
Peppa Pig: Paintbox,"Visit website
support@peppapig.com
Privacy Policy
45 Warren Street London W1T 6AG",Entertainment OneEducationalEducation,Completely free,No Interactive Elements,"October 3, 2016","Rated for 3+
Learn More","50,000,000+","128,463 total",Entertainment One,3.8,4.0 and up,36M,1.2.6
Daily K-Talk,"Visit website
tokoinfo@talkingkorea.com
Privacy Policy",Talking KoreaEducation,Completely free,No Interactive Elements,"February 13, 2020","Rated for 3+
Learn More","50,000+",418 total,Talking Korea,3.8,4.0 and up,Varies with device,Varies with device
V-CUBE Seminar Mobile,"Visit website
android-market@vcube.co.jp
Privacy Policy","V-cube, Inc.Business",Completely free,Users Interact,"April 17, 2018","Rated for 3+
Learn More","100,000+",568 total,"V-cube, Inc.",4.4,4.0 and up,30M,1.23.0
All downloader 2019,"Visit website
cameras.ideas@gmail.com
Privacy Policy
27 Maywood Road, Delmar, NY, United States of America",InShot Inc.Video Players & Editors,"₹650.00 - ₹1,650.00 per item",No Interactive Elements,"May 25, 2020","Rated for 3+
Learn More","100,000,000+","493,812 total",InShot Inc.,4.3,5.1 and up,9.4M,1.2.1
Theme for P Smart 2019,"Visit website
bestlaunchersapp@gmail.com
Privacy Policy",Best Launchers AppPersonalization,Completely free,No Interactive Elements,"January 30, 2020","Rated for 3+
Learn More","5,000+",0,Best Launchers App,-1,4.0 and up,8.8M,1.0.5
"Helo - Discover, Share & Communicate","Visit website
feedback@helo-app.com
Privacy Policy
Vistra Corporate Services Centre, Wickhams Cay II, Road Town, Tortola, VG1110, British Virgin Islands",Helo Holdings LimitedSocial,"₹79.00 - ₹7,900.00 per item",Users Interact,"June 24, 2020","Rated for 12+
Parental Guidance Recommended
Learn More","100,000,000+","2,327,586 total",Helo Holdings Limited,4.0,4.1 and up,40M,3.3.8.02
Helo Lite - Download Share WhatsApp Status Videos,"feedback@helo-app.com
Privacy Policy
Vistra Corporate Services Centre, Wickhams Cay II, Road Town, Tortola, VG1110, British Virgin Islands",Helo Holdings LimitedSocial,Completely free,"Users Interact, Shares Location","June 24, 2020","Rated for 12+
Parental Guidance Recommended
Learn More","10,000,000+","55,979 total",Helo Holdings Limited,3.9,4.1 and up,11M,1.0.9.05
"Q UP - ""Painless OPD Experience""","Visit website
help@qupapp.com
Privacy Policy",3409 Tech Ventures Pvt. Ltd.Medical,Completely free,No Interactive Elements,"May 20, 2020","Rated for 3+
Learn More","100,000+","3,012 total",3409 Tech Ventures Pvt. Ltd.,4.0,4.4 and up,49M,5.11
Vinkle - Music Video Editor,"vinklebhb@gmail.com
Privacy Policy
香港九龍長沙灣長沙灣道788號罗氏商业广场6楼603",BIG HEAD BROTHERSVideo Players & Editors,"₹85.00 - ₹4,550.00 per item",In-App Purchases,"June 22, 2020","Rated for 7+
Fear
Learn More","10,000,000+","404,906 total",BIG HEAD BROTHERS,4.2,4.4 and up,49M,1.13.1
U Pay,umcaindia@gmail.com,UMCA IndiaBusiness,Completely free,No Interactive Elements,"March 12, 2020","Rated for 3+
Learn More","1,000+",35 total,UMCA India,4.2,4.1 and up,4.8M,1.13
F-app,aqagamesinfo@gmail.com,AQAEntertainment,Completely free,Users Interact,"August 27, 2019","Rated for 18+
Extreme Violence
Learn More","10,000+",84 total,AQA,3.8,2.1 and up,3.3M,1.1
S Letter Video Status: S name status,"nuttjames927@gmail.com
Privacy Policy",naltarLifestyle,Completely free,No Interactive Elements,"September 10, 2019","Rated for 3+
Learn More","5,000+",6 total,naltar,4.3,4.0.3 and up,5.2M,1.0
J Passport,"Visit website
support@jpassport.asia
Privacy Policy",Reginaa Private LimitedLifestyle,Completely free,No Interactive Elements,"June 9, 2020","Rated for 3+
Learn More","10,000+",156 total,Reginaa Private Limited,2.6,4.1 and up,45M,5.9.0
Lep's World 2 🍀🍀,"Visit website
support@LepsWorld2.com
Privacy Policy
Broetzenbergerstrasse 17-19/4/3 2201 Gerasdorf Austria",nerByte GmbHArcade,"₹52.98 - ₹7,100.00 per item","Users Interact, In-Game Purchases","September 24, 2019","Rated for 12+
Horror
Learn More","100,000,000+","994,917 total",nerByte GmbH,4.3,4.1 and up,37M,3.6
Lep's World Z,"Visit website
support@zombieworldgame.com
Privacy Policy
Broetzenbergerstrasse 17-19/4/3 2201 Gerasdorf Austria",nerByte GmbHAdventure,"₹80.00 - ₹7,100.00 per item","Users Interact, Digital Purchases","June 25, 2020","Rated for 12+
Moderate Violence, Horror
Learn More","5,000,000+","23,582 total",nerByte GmbH,4.2,4.1 and up,48M,2.4.5
Lep's World 🍀,"Visit website
support@LepsWorld2.com
Privacy Policy
Broetzenbergerstrasse 17-19/4/3 2201 Gerasdorf Austria",nerByte GmbHArcade,"₹57.31 - ₹7,100.00 per item","Users Interact, Digital Purchases","September 30, 2019","Rated for 12+
Horror
Learn More","100,000,000+","928,413 total",nerByte GmbH,4.3,4.1 and up,Varies with device,4.5.2
triple j,"Visit website
radiodigital@abc.net.au
Privacy Policy
700 Harris Street Ultimo NSW 2007",Australian Broadcasting CorporationMusic & Audio,Completely free,No Interactive Elements,"June 23, 2020","Rated for 16+
Strong Language
Learn More","500,000+","6,417 total",Australian Broadcasting Corporation,4.7,5.0 and up,25M,2.5.2
N-UM,"esed.alih@gmail.com
Privacy Policy",Raif HuseinovićEducation,Completely free,No Interactive Elements,"December 24, 2019","Rated for 3+
Learn More","1,000+",131 total,Raif Huseinović,5.0,4.3 and up,6.0M,1.0.3
U-App,"contato@dialog.ci
Privacy Policy",CriticalMassCommunication,Completely free,"Users Interact, Shares Location","December 19, 2019","Rated for 3+
Learn More","1,000+",17 total,CriticalMass,4.4,4.1 and up,Varies with device,5.8.0
Bricks Breaker - n Balls,"puzzle2brain@gmail.com
Privacy Policy",Puzzle Brain GamesArcade,Completely free,No Interactive Elements,"March 18, 2020","Rated for 3+
Learn More","1,000+",13 total,Puzzle Brain Games,3.5,4.1 and up,32M,1.3.202
Bubble Shooter,"Visit website
supportoriginal@ilyon.net
Privacy Policy
Lev Haarets Rosh Haayin",Bubble ShooterCasual,"₹34.99 - ₹8,300.00 per item",Digital Purchases,"June 25, 2020","Rated for 3+
Learn More","100,000,000+","908,866 total",Bubble Shooter,4.1,4.1 and up,25M,11.0.3
Learn C Programming,"Visit website
hello@programminghub.io
Privacy Policy
RightSol PTE LTD WeWork 1161 Mission St San Francisco, CA 94103",Coding and ProgrammingEducation,"₹490.00 - ₹11,700.00 per item",Users Interact,"March 27, 2020","Rated for 3+
Learn More","1,000,000+","30,165 total",Coding and Programming,4.5,Varies with device,Varies with device,Varies with device
F-Car,"454599023@qq.com
Privacy Policy",Gavin 558Tools,Completely free,No Interactive Elements,"March 16, 2019","Rated for 3+
Learn More","10,000+",290 total,Gavin 558,2.4,4.4 and up,8.2M,V106
U-Abo,"Visit website
appstore@blt.ch
Privacy Policy",BLTTravel & Local,Completely free,Digital Purchases,"May 20, 2020","Rated for 3+
Learn More","10,000+","1,284 total",BLT,4.7,4.4 and up,15M,3.1.3
Chromecast Z - TV Streaming & Screen Share,"Visit website
support@evolly.app
Privacy Policy
29 Nguyen Phuoc Lan, Hoa Xuan, Cam Le, Da Nang, Vietnam",EVOLLY.APPTools,"₹75.00 - ₹1,950.00 per item",In-App Purchases,"June 6, 2020","Rated for 3+
Learn More","100,000+",711 total,EVOLLY.APP,3.4,4.1 and up,16M,1.0.7
Club Factory - Online Shopping App,"Visit website
info@clubfactory.com
Privacy Policy",Club FactoryShopping,Completely free,No Interactive Elements,"May 29, 2020","Rated for 3+
Learn More","100,000,000+","1,763,091 total",Club Factory,3.7,4.4 and up,22M,6.4.1
Q Player,blappv@gmail.com,BoyzLuv LabEntertainment,Completely free,No Interactive Elements,"May 13, 2020","Rated for 3+
Learn More","50,000+",80 total,BoyzLuv Lab,4.3,4.1 and up,2.5M,2.0.1
"WPS Office - Free Office Suite for Word,PDF,Excel","Visit website
feedback@wps.com
Privacy Policy
Unit 1309A, 13/F, Cable TV Tower, No. 9 Hoi Shing Road, Tsuen Wan, N.T., Hong Kong",Kingsoft Office Software Corporation LimitedProductivity,"₹10.00 - ₹26,000.00 per item","Users Interact, In-App Purchases","June 24, 2020","Rated for 3+
Learn More","100,000,000+","2,028,336 total",Kingsoft Office Software Corporation Limited,4.2,5.0 and up,Varies with device,12.6.4
WPS Office Lite,"Visit website
mofficesupport@kingsoft.com
Privacy Policy
Unit 1309A, 13/F, Cable TV Tower, No. 9 Hoi Shing Road, Tsuen Wan, N.T., Hong Kong",Kingsoft Office Software Corporation LimitedProductivity,"₹29.99 - ₹6,800.00 per item",No Interactive Elements,"May 23, 2020","Rated for 3+
Learn More","50,000,000+","185,417 total",Kingsoft Office Software Corporation Limited,4.2,5.0 and up,65M,12.6
"Xender - Share Music&Video,Status Saver,Transfer","Visit website
service@xender.com
Privacy Policy
Room 503, 5/F, Wayson Commercial Building, 28 Connaught Road West, Sheung Wan, Hong Kong",Xender File Sharing TeamTools,Completely free,No Interactive Elements,"June 15, 2020","Rated for 3+
Learn More","100,000,000+","2,761,277 total",Xender File Sharing Team,4.0,Varies with device,Varies with device,Varies with device
J Chemistry (NET/GATE),"april2019@classplus.co
Privacy Policy",Education A19-MediaEducation,Completely free,Users Interact,"June 25, 2020","Rated for 3+
Learn More","10,000+",522 total,Education A19-Media,4.4,4.2 and up,30M,1.0.99.7
Brainly – The Homework App,"Visit website
support-android@brainly.com
Privacy Policy
379 W. Broadway, New York, NY 10012, United States","Brainly, IncEducation",Completely free,Users Interact,"June 22, 2020","Rated for 3+
Learn More","10,000,000+","665,766 total","Brainly, Inc",4.6,5.0 and up,7.7M,5.9.0
